,text
82,"자기야, 나와 함께 우울에 빠져 죽을래? 죽어가는 동안에는 얼마든지 절망해도 좋아 죽기 직전에 나를 잊고 눈 감아도 좋아"
83,"@burningeun_mu
 님에게 보내는 답글"
84,"우울은 반성과 '공상'이 따르는 가벼운 슬픔이라고도 한다. 공상은 실현될 수 없는 것을 막연히 그려보는 생각이라고 하고 그려보는게 실현이 되는 예술가면 그건 더이상 공상이 아니게 되고,그건 더이상 우울이 아니게 되는것이다."
85,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
86,트위터폰우울자낮오타쿠연성같다고 코라...
87,"사람들이 말하는 바쁘게 지내라, 운동해라, 햇볕을 쬐라 등은, 우울과 불안이 어느 정도 나아진 후에나 가능한 일이다. 우울증이 심할 땐, 아무것도 소용없다."
88,"@Cha_Gijun
 님에게 보내는 답글"
89,"※자동트윗※
투블럭 숏컷이 뭐 어때서요.
양성(동성)애자가 뭐 어때서요.
욕하시는 분들 부러워서 욕하시나요?
이성친구(애인) 못 만드는데 양성(동성)애자가 만들어서 부럽나요?
욕했던 당신의 모습을 좋아하는 사람이 있을까요? 생각하고 내뱉으세요."
90,"우정케이스
우상
우중캠핑
우리은행
우크라이나
우정템
우디
우정반지우울글귀
우유니
우유
우드소품
우드슬랩
우지호
우리집
우육면
우드
우럭
우빈
우니
우정촬영
우성
우메다
dare56823"
91,"#일상계_트친소 #우울계_트친소
#트친소
일상계와 우울계 그 사이인 계정
혼잣말 하는 계정
혼자 개소리 많이 함
여자만 받아요
무멘팔로 찾아감"
92,"다 꺼져, 아니 내 곁에 있어줘."
93,어차피 너는 나같은거 필요없잖아
94,대신에 우울감은 솹높아졌구
95,"가족의 이야기, 우리의 이야기, 앞으로의 이야기를 나눴다. 이제 괜찮은 줄 알았는데 다시 눈물이 났다. 
나에 대한 감정, 그리고 어떠한 경우에도 나를 선택할 확신을 물었다. 결국 또 한번 이런 우울이 닥쳐올 경우 그는 또다시 가장 곁에 있는 나를 버릴거 같다고 했다."
96,우울감자 줄여서 울자
97,무기력도 우울의 표현이라던데
98,감자 지금 우울감자댐.. 휴
99,"@M0ngBell
 님에게 보내는 답글"
100,"우울터진다
이번에도 잘 이겨내자"
101,야야 클나써 너ㅜ 우우울래
102,어중간한 내얼굴이 싫어
103,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
104,뒷계끼리 이을 사람~ 우울트 가끔 올라와요
105,"나 그야말로
「 료멘 스쿠나 」처럼
전오수 얘기하면서 우울모드 on햇다가
주술얘기하면서 빵끗웃고"
106,요즘 적잖이 우울혀... 예전에 애기들 가르치고 열심히 놀아주며 아이들 웃음소리 그득했던 전 직장이 생각나는 시점이여... 그리고 하루죙일 달리던 등하원 일도... 그때 많이 빠졌었는데...
107,요즘 계속 우울하다....낮에는 괜찮은데 왜 12시에서 1시 쯤부터 우울해져... 극심하게 우울해져서 앞이 잘 안보여.... 나는 상관 없으니까 주변사람들은 우울감 없고 행복했으면 좋겠다는게 작은 바램이야.....
108,"현생 우울모드
사실 낙서할 시간에 서류 한장이라도 더 만들어야 하는데 말처럼 쉬운게 아니다멍"
109,구원이란말 왠지 거창하고 여러모로 좋아하지는 않지만 당시의 아기를 우울에서 이끌어낸건 그런 정도지않을까.. 그만큼 본인에 대한건 뭐든 평가 바닥이엇으니까 어쨋든 그 손길에서까지도 졸업하고 본인이 나아갈 길을 스스로 고민할수잇게 된점이 최고 사랑스러움 성장형 아기
110,이 우울감이 너무무서운게 평탄한 일상을 계속 보내다 어느순간 어? 하며 찾아옴... 내가 해왔던 모든게 무쓸모같고 내가 이룬 모든게 그저 돈지랄 뻘짓이라 생각하니 걍.. 스스로 부정하게 되는게 제일 무서워...
111,"@pin6194
 님에게 보내는 답글"
112,"나랑 시날갈사람
편히 말해주소 
종언에 이르는 맹세
업야담
우울을 굳혀 만든 것
백시간 연대기
하이웨이 패스파인더
부패와 퇴락의 연대기
카지노 로맨스
특별임무!
적의 세계
필멸의 기록
생일
여름과 우울
12시의 도밍게즈 
세상의 끝에서
괴물은 심장을 먹지 않는다
슬리피 데이즈 
수상한 전학생"
113,"@SVT_woozingi
 님에게 보내는 답글"
114,"@bookwx_
 .....올사람
내일부터 저쫙도 많이 들가보려해
근데 말 진짜 필터링 안거치니까...
욕이 난무하고 우울트 진짜 많으니까....
조심...
혹시나 또 계정 잠기면 저기서 서식함...."
115,"우울감이 기어오를때
토해내고싶어서 만든 계정"
116,사근사근한 성격 아니면서 좋아하는 사람 앞이라고 끼부리는 넘 좋은데 그래두 우울까지 품고 싶은 마음을 알아 주셨으면
117,진심 우울계 아니게 돼버려서 정병 왔단 이야기도 못하겠음ㅋㅋㅋㅋ
118,"~6월에 티알 왕창 가고 싶어서 쓰는 시날집 목록!~
이걸 보시는 분들 이중에서 가고 싶으신 거 있으시면 언제든지 디엠디엠 그 밖에 다른 공개시날도 좋아요!

미드나잇 블루
사연가
백시간 연대기
긴급! 30초 로맨스
우울을 굳혀 만든 것
눈과 비로 만든 세계
스승의 은혜
하이웨이 패스파인더"
119,노력하는걸 이렇게 싫어하는데 앞으로 뭘 할수있을지 모르겠다
120,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
121,"#일상계_트친소

팔로 숫자가 홀수라서 … 짝수병이 있어 친구구행요

남자x 얼굴셀털x 과한우울계x
만 아니면 다른건 상관"
122,"이름은그렇다쳐도...
보통 우울계사람들이 제노가바나나먹는 인장을많이사용하나요?"
123,갑자기 일기뽕이 차서 블로그에 들어가봤는데 작년부터 올해 초까지 쓴 모든 글들이 죽고 싶다는 내용과 우울과 절망에 시달리는 글밖에 없어서 어쩐지 측은한 마음이... 작년이 정말 힘들었는데 어째저째 이렇게 또 괜찮게 살아있네 싶고.
124,"@JIN_7_
 님에게 보내는 답글"
125,문약우울또라이남캐... 한번 먹어보고 싶은 거에요 하지만 남캐가 문약우울이라니 씨발 이상밖에 생각이 안나고 갑자기 개찌질해보이고
126,나도 같이 앉자 나도 지금 우울만두다
127,"뒷계
@Seodam__XS
섹트, 우울트, 욕트가 올라와요
필터없이 마구 내뱉는 곳이예요
뒷계는 
뒷계끼리
 이어요"
128,ㅇㅇ엉우울유ㅜㅇ류ㅠㅜㅜㅠㅠㅜㅜㅠㅜㅠㅠㅜㅜㅠㅠㅜㅜㅠ 갲자증나 가스파드 작가님 당신은 당신은 헌ㅇ럼ㄶㅇ런ㅁㅇㅎㅀ류ㅠㅠㅠ
129,자주 우울트 올립니다. 뮤트하시거나 블락해도 ㄱㅊ~
130,목표가 없어
131,"@ch0ke_me_now
 님에게 보내는 답글"
132,"행복 -> 우울 -> 분노 -> 현타
왜 또 이래 감정 뒤죽박죽이구나"
133,"Q48.인간,졍귻이의2019192928번째엄마
Q49.망함,우울,ㅂ6탄
Q50.누워서 타자치는거 어깨 너무 아픈데 없는게 너무 많아서 웃김"
134,"그래도... 우울계는 꼬박꼬박 들어갈 거니까요.
우울계는 제 바이오에 있습니다."
135,결국 우울을 떨쳐내기 위해 동저식을 틀었고 이게 한 30번째 동저식인듯
136,"@pero16_
 님에게 보내는 답글"
137,"@HARU_tlqkf
 님에게 보내는 답글"
138,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
139,넌 나를 아프게 해
140,보구싶어보구싶어보구싶어 선욱아 보구시퍼  네가 거기서 기다리지 않을까 봐 무서워 어딧니 눈을 감으면 등장할거니 라나의 냉소와 우울을 들으며 잠들면  꿈에서라도 만날 수 잇겟지 ? 우리 만나자 웅웅 꼭 만나쟈 보구시퍼 하굣길에 체육복을 입고 분식집에서 싸구려 메뉴들을 시켜먹자 웅웅 꼭 봐
141,완전 기 다빨리고 우울모드라서 힐링 영상이나 애니 보려고 넷플 들어갓는데.......... 마인이 뜨네...................... 이걸 어케 안 봐......
142,우울
143,"우울에 잠식하고 싶다.
이 어둠에 잠식하고 싶다.

하지만 이제는, 너에게.

시간이 흐르고 나니,
그 자리에 너는 없었고

나는 다시 어둠을 찾아가려다
나에게 잠식해야겠다 다짐했다."
144,"의료인은 진심...전문직인데 감정노동 ㄹㅇㄹㅇㄹㅇㄹㅇㄹㅇㄹㅇ힘든 직종인듯

환자들은 아파서 우울예민이고 환자보호자들도 똑같으니.....

성숙한 국민이 되자구요....."
145,"@ans_leader
 님에게 보내는 답글"
146,"이런 곳 갈 때마다 뭔가...진짜 무거운데 우울이랑은 다른 느낌이지
생각 좀 들어찬 다음 갔을 때 숙연함이 뭔지 알게 되었어"
147,"욕트,섹트,잡담,우울트多
불편하시면 블언블해주세요:)

*자트*"
148,"그래 놓아버리면 그만인것을 
나는 무엇이 그리웠길래 놓지 못 했나

#섹트 #감성 #우울"
149,"@mouse_niconi
 님에게 보내는 답글"
150,"@lemon___butter
 님에게 보내는 답글"
151,"@jeom_sky
 님에게 보내는 답글"
152,"이마저도 허기였던 거지, 그렇지? 
이미 있는 우울도, 경험도 
다 모자르다고 하는 
그런 허기인 거지. 
채워질 리가 없는데도,
절대 완벽할 수 없는데도 
완벽하고 싶은."
153,인생이 지루하다
154,학교커뮤니티에 취업 우울 징징글 심정 이제 이해가기 시작
155,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
156,"퇴트합니다
다들 오늘 하루도 수고했어요

잘 자요!"
157,"@gamti__0
 님에게 보내는 답글"
158,"나랑 바다보러 갈 여자 구해요오
19살 자퇴생여자랑 바다보러갈 여성분 ! 디엠좀요 #여행 #우울"
159,"@HCLiyes
 님에게 보내는 답글"
160,나사실예전에우울한글들썼을때트친들한테연락오는게부담스럽고말하기도싫고그래서사실 안괜찮은데나아진척한적있어그래야연락이안 오니까..걱정해주는건데왜그러냐할수있는데난그런 관심 받는게좀뭐랄까걍별로임마음찍는정도까지로만해주면 고마울거같음묻진말고..난내얘기를정말잘안함얘기안해준다고
161,우울계에 있는 의미가 없어졌어
162,"논문이 있는건지 그냥 이전 기사만 있는건지 모르겠는데,, 그래서 dsm의 진단명인 우울증인지 일상적 의미의 우울인지 모르겠군 어쨌든 사회학과니 내가 아는 범위랑은 다르겠지 중앙대도 심리학과 있으니까,, 박사면 고졸보다 잘 연구하셨겠지 응응 여성이 남자보다 우울증 유병율 두배인건 일단 맞고"
163,스즈미야유료애니저장소의우울
164,분하고 속상했다가 절 두고 나아간 카게야마가 한 없이 미워졌다가 이제는 함께 갈 이유도 필요도 없는 사이란 거 깨닫고 허망해져. 허탈해서 웃음이 나오더라고. 쿠니미는 한 번 우울에 빠지면 나오기까지 오래 걸릴 거 같아 일단 본인이 나오려는 의지가 없음
165,", ,  , , ,

(우울ㄹ먹 울먹울먹"
166,진짜 3월 족굼 힘들지만 호이데이 하고 꽃구경 하다 보면 또 좀 살 거 같다가 4월이 진짜 우울감 최고조라서 또 죽네 사네 하다가 태우데이 지나면 진짜 사랑에 빠지는 날씨 온 다음에 고통의 시험들 지나면 장마 지나서 쭌데이 지나구 더위 이겨낸드아~하면 추석이구 또 금방 사수자리들 생일임
167,우울맨!
168,"나랑 비계친할ㅅㅏ람 ••• 우울글있고 •• 가끔 
한 거 있음
그
그...!!!!!멘션주ㅜ시면가려서
ㅂ받을게여"
169,가스파드ㅠㅠㅠㅠㅠ수고하셨습니다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ내 생의 최고의 작품을 만드셨고 내 우울증을 이겨낼수 있게 만드셨고ㅠㅠㅜㅜㅠㅠㅠㅠㅠㅠㅠㅠ동시에 우울을 만들어주셨어요
170,"우울모드겐야
귀여우죽겟음하아아아아아
악어님면담신청이요"
171,유교적 명분정치에서 숙청 정국을 면할 수 있는 방법은 주기적으로 왕의 목을 슬겅슬겅하는 것말고는 없지 않을까 하는. 정쟁에서 이기면 진 당이 미는 왕의 목을 치고 이기면 정권연장.. 물론 그런 정치체가 가능할 리는 없겠죠.
172,맞다 사담계 오실 분 계시나요 우울글은 없고...과제 욕 많이 하고 가끔 빻은 소리 조금 하는 계정
173,약간 벌레로 여겼는데 나라는 최종보스를 죽이고 우울감에 빠져 살동안... 나도.. 나도 원래는 인간이었는데.... 그새끼때문에 이렇게 죽지도 못하는 몸으로... 가족도 친구도 전부 잃고.... 하면서 완전 펑펑울고 기억속 인간에 대한 애정을 찾을것이다... 세계를 오가면서 누군가의 설정놀음에 고통
174,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
175,민주주의 외에 정상적인 정치는 없다는 건 제 오랜 지론이에요.
176,레오님 보고 싶어요 이상한 스토커가 나를 쫓고 잇어요
177,흔히 조선의 정치를 견제와 균형이라 하는데 전 사실 후기 대 숙청 정치도 그렇게 본 의도가 왜곡된 게 아니라 보는 편. 단순히 대화로 조화가 이뤄질 수 있다 믿는 건 너무 안일한 시각이고요. 오히려 극도로 정치화된 유교적 대의는 이 체제를 비극에 필연적으로 다다르게 하는 것 같아요.
178,"되게 그거죠 인프피는
친한 사람들과 있을 때 피곤하면서도 급격히 올라가는 텐션과
밤에 집에서 혼자 있을 때 생각나는 온갖 자신의 말버릇 하이텐션 오늘 한 일 자기반성 후회 다짐 미련 슬픔 우울에 망상 한 스푼이 총집합되는..."
179,"@nk_WPac
 님에게 보내는 답글"
180,"사담계..오실분...~
우울트 죔 잇고..헛소리많고..불건전함.. 널부레, @ TR_ST_ME"
181,너희의 우울은 내가 도와줄 수가 없는 부분
182,"@BA_N_AB
 님에게 보내는 답글"
183,"@tikitaka_04
 님에게 보내는 답글"
184,우울
185,감정이 먼저 그걸 캐치해 너를 괴롭힐 것이다. 생각에 씨앗이 심해지면 자라는 불안의 만개를 막을 수 없을 것이다. 우울의 순간의 감정이다. 만개한 불안을 불태워라. 그게 가장 나다운 일이다
186,사랑해...좀 우울햇는데 기분좋아졋어
187,"@1122aas990
 님에게 보내는 답글"
188,"오늘 갑자기 슬픈 팝송 땡김
혹시 추천 있으신가요 
?

이별,슬픈,우울,잔잔,갬성 다 좋아요"
189,"월요일은 우울의 대명사~
화요일은 우울의 대명사~
수요일은 우울의 대명사~
목요일은 우울의 대명사~
금요일은 봐준다,,"
190,우울... 연습실... 가고 싶음...
191,"@Sandoriz_sk
 님에게 보내는 답글"
192,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
193,"감정이 상한 것도 상처잖아 왜 내 상처 무시해?
내가 날 잘 아니까 처음부터 그랬잖아 근데 너네가 전부 날 무시하고 너네 기준에 날 처박았잖아 너네가 나 괴롭히잖아 솔직히 난 묻고싶어
내가 오늘 죽어도 너네가 후회해줄까? 절데 안 할거야 그렇겠지뭐"
194,ㅎㅎㅎ 부모님이 갑자기 웅ㄹ해요 ㅎㅎㅎ 걱정 아님 우울 ㅎㅎㅎ
195,"시날집 간절히 구해요.....

어찌됐든 해피엔딩  어해피
A Bouquet of flower   어부케
Vacation Trip  베케트립
A world of Chliche 월오클
니알라토텝의 장난감상자 냐루상자
세상의 끝에서  세끝서
우울을 굳혀 만든 것 우울굳

교환도 가능합니다... 교환 목록은 하단트윗에 달아두겠습니다"
196,본인 캐 치고 복흑 or 우울한쪽은 아님
197,수위계든 우울계든
198,"@imsorrybadguy
 님에게 보내는 답글"
199,아 목매달고 싶다 그냥 그냥 자해랄까
200,Kamp! 의 Cairo (Moullinex Remix)
201,"그 씹덕학살영상이라고 알티탄 그거
레퍼런스 정말 장난아니다
소울이터 나루토 오우마가도키동물원 페이트 블랙록슈터 듀라라라 어떤마법의금서목록 어떤과학의 초전자포 은혼 케이온 스즈미야하루히의 우울 풀메탈패닉 강철의연금술사 작안의샤나 제로의사역마 반역의 를르슈 원피스 블리치이하생략"
202,왜 우울 나날들은 아무도 몰라 히잉
